Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,28,56,T:System.Data.Linq.Mapping.MappingSource,,,,,mappingSource = new AttributeMappingSource()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,67,2,T:System.Data.Linq.Mapping.MappingSource,,,,,"public DataBaseHelperDataContext(System.Data.IDbConnection connection, System.Data.Linq.Mapping.MappingSource mappingSource) :   				base(connection, mappingSource)  		{  			OnCreated();  		}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,67,127,"M:System.Data.Linq.DataContext.#ctor(System.Data.IDbConnection,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,61,2,T:System.Data.Linq.Mapping.MappingSource,,,,,"public DataBaseHelperDataContext(string connection, System.Data.Linq.Mapping.MappingSource mappingSource) :   				base(connection, mappingSource)  		{  			OnCreated();  		}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,61,108,"M:System.Data.Linq.DataContext.#ctor(System.String,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,56,21,T:System.Data.Linq.Mapping.MappingSource,,,,,mappingSource
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,55,73,"M:System.Data.Linq.DataContext.#ctor(System.Data.IDbConnection,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,50,21,T:System.Data.Linq.Mapping.MappingSource,,,,,mappingSource
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,49,54,"M:System.Data.Linq.DataContext.#ctor(System.String,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,44,96,T:System.Data.Linq.Mapping.MappingSource,,,,,mappingSource
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,43,37,"M:System.Data.Linq.DataContext.#ctor(System.String,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(global::JitterTestAnalyser.Properties.Settings.Default.JitterTestDataConnectionString, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,25,67,T:System.Data.Linq.DataContext,,,,,DataContext
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\Program.cs,18,6,T:System.Windows.Forms.Application,,,,,Application.Run(new MainForm());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\Program.cs,18,6,M:System.Windows.Forms.Application.Run(System.Windows.Forms.Form),,,,,Application.Run(new MainForm());
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\Program.cs,17,6,T:System.Windows.Forms.Application,,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\Program.cs,17,6,M:System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(System.Boolean),,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\Program.cs,16,6,T:System.Windows.Forms.Application,,,,,Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\Program.cs,16,6,M:System.Windows.Forms.Application.EnableVisualStyles,,,,,Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,68,45,T:System.Windows.Forms.RichTextBox,,,,,rtbErrorMsg
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,67,40,T:System.Windows.Forms.Button,,,,,btnAccept
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,61,6,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,60,6,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""Error"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,59,6,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""ErrorForm"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,58,6,T:System.Windows.Forms.Button,,,,,this.Controls.Add(this.btnAccept);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,58,6,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.btnAccept);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,58,6,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.btnAccept);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,58,6,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.btnAccept);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,57,6,T:System.Windows.Forms.RichTextBox,,,,,this.Controls.Add(this.rtbErrorMsg);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,57,6,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(this.rtbErrorMsg);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,57,6,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(this.rtbErrorMsg);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,57,6,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(this.rtbErrorMsg);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,56,6,P:System.Windows.Forms.Form.ClientSize,,,,,"this.ClientSize = new System.Drawing.Size(453, 261);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,55,6,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\ErrorForm.Designer.cs,55,6,T:System.Windows.Forms.AutoScaleMode,,,,,this.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font;
